actiune,timestamp
SearchMeniuId, 1620398628072,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398634766,
PrintProducts, 1620398634767,
SearchMeniuId, 1620417648245,
SearchMeniuId, 1620417648246,
SearchMeniuId, 1620417648247,
SearchMeniuId, 1620417648247,
createMeniu, 1620417665478,
SearchMeniuId, 1620417687555,
createProduct, 1620417690955,
SearchMeniuId, 1620418344471,
SearchMeniuId, 1620418344473,
SearchMeniuId, 1620418344473,
SearchMeniuId, 1620418344474,
SearchMeniuId, 1620418354946,
PrintProducts, 1620418354947,
SearchMeniuId, 1620418372626,
createProduct, 1620418376421,
SearchMeniuId, 1620418386056,
createProduct, 1620418387867,
SearchMeniuId, 1620418700134,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700137,
SearchMeniuId, 1620418700137,
createMeniu, 1620418714953,
SearchMeniuId, 1620418801778,
SearchMeniuId, 1620418801780,
SearchMeniuId, 1620418801780,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418810546,
PrintProducts, 1620418810546,
createMeniu, 1620418819593,
createMeniu, 1620418833702,
SearchMeniuId, 1620418856181,
createProduct, 1620418860045,
SearchMeniuId, 1620418865959,
SearchMeniuId, 1620418865960,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865962,
SearchMeniuId, 1620418865962,
SearchMeniuId, 1620418999570,
SearchMeniuId, 1620418999572,
SearchMeniuId, 1620418999572,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999574,
